# BladeRF 2.0 micro max Pin at 1 MHz separation
# Gain	 145	 437	1280	2250	2450	5830
-16	 0.0	 0.0	-8.0	-8.0	-3.0	-6.0
-9	 0.0	-5.6	-13.0	-12.0	-8.0	-9.0
-2	-3.5	-13.0	-21.0	-17.0	-14.4	-15.0
5	-11.8	-14.4	-27.0	-20.0	-20.3	-21.0
12	-15.7	-20.0	-34.0	-27.0	-22.3	-25.0
19	-27.1	-29.6	-38.0	-35.0	-35.5	-32.0
26	-30.2	-33.6	-40.0	-45.0	-41.5	-43.0
33	-33.0	-35.1	-43.0	-49.0	-45.0	-46.0
40	-32.7	-37.1	-44.0	-52.0	-47.0	-48.0
47	-32.5	-37.0	-45.0	-55.0	-50.0	-49.0
54	-35.5	-36.9	-47.0	-58.0	-53.0	-54.0
60	-39.9	-42.0	-50.0	-59.0	-58.0	-59.0
