# BladeRF 2.0 micro max Pin at 5 kHz separation
# Gain	 145	 437	1280	2250	2450	5830
-16	-8.5	-16.0	-21.8	-20.2	-26.0	-16.5
-9	-13.9	-19.0	-23.8	-23.3	-27.0	-17.5
-2	-17.0	-26.0	-29.5	-32.3	-33.0	-24.5
5	-22.8	-29.4	-35.3	-38.4	-38.0	-30.2
12	-27.0	-34.1	-39.6	-41.7	-43.0	-34.5
19	-40.9	-43.9	-48.4	-49.2	-52.0	-37.5
26	-44.0	-47.7	-52.8	-54.5	-55.0	-51.5
33	-46.0	-51.1	-55.5	-58.5	-60.0	-55.5
40	-47.4	-52.5	-59.0	-60.9	-63.0	-57.5
47	-55.2	-56.3	-57.3	-64.2	-65.0	-58.5
54	-62.0	-60.7	-57.7	-67.0	-66.0	-62.5
60	-66.7	-66.8	-63.4	-68.6	-69.0	-67.2
