# PlutoSDR max Pin at 5 kHz separation
# Gain	 145	 437	1280	2250	2450	5830
0	-12.0	-21.0	-33.0	-34.0	-34.0	-42.5
10	-24.0	-31.0	-41.0	-44.0	-44.0	-49.5
17	-27.0	-36.0	-47.0	-48.0	-48.0	-57.5
24	-31.0	-39.0	-52.0	-54.0	-54.0	-65.5
31	-40.0	-52.0	-59.0	-62.0	-64.0	-68.5
38	-44.0	-55.0	-67.0	-68.0	-68.0	-71.5
45	-48.0	-59.0	-69.0	-70.0	-71.0	-73.5
52	-51.0	-61.0	-72.0	-74.0	-76.0	-74.5
59	-53.0	-61.0	-72.0	-74.0	-74.0	-80.5
66	-54.0	-63.0	-72.0	-77.0	-79.0	-81.5
73	-61.0	-64.0	-73.0	-78.0	-78.0	-82.5
