# BladeRF 2.0 micro CW TX power
# Gain	145	437	1280	2250	2425	5830
-20	-76.5	-75.7	-78.47	-81.27	-85.23	-88.54
-10	-66.7	-67.0	-69.47	-72.27	-75.23	-81.54
0	-56.7	-57.2	-59.27	-63.27	-65.73	-72.44
10	-46.6	-47.1	-49.27	-53.27	-55.43	-62.54
20	-36.7	-37.2	-39.37	-43.37	-45.53	-52.64
30	-26.4	-26.9	-28.97	-33.07	-35.23	-42.64
40	-16.5	-17.0	-19.17	-23.17	-25.33	-32.74
50	-6.4	-7.0	-9.67	-13.37	-15.43	-22.54
55	-1.3	-1.9	-4.77	-8.57	-10.43	-17.44
60	3.6	2.9	0.03	-3.87	-5.63	-12.54
66	7.7	6.9	5.03	1.63	0.07	-7.24

