# CW TX power measurements for Ettus USRP B210
#
# Gain  145    437	  1280    2250    2425    5830
#
0      -63.1  -63.7  -64.47  -73.00  -74.00  -74.00
10     -53.1  -53.7  -55.47  -63.27  -64.23  -64.54
20     -43.3  -44.0  -45.57  -53.27  -55.23  -55.04
30     -33.2  -33.8  -35.57  -43.57  -45.53  -45.14
40     -23.2  -23.8  -25.57  -33.47  -35.63  -35.14
50     -13.0  -13.7  -15.47  -23.37  -25.53  -25.24
60      -3.0   -3.6   -5.37  -13.37  -15.53  -15.24
65       2.2    1.5   -0.27   -8.37  -10.43  -10.24
70       7.3    6.6    4.83   -3.27   -5.43   -5.24
75      12.2   11.4    9.43    1.23   -0.73   -0.14
80      16.5   16.0   14.33    5.83    3.97    4.86
85      17.8   17.8   17.83   10.23    8.37    9.26
89      17.5   17.6   18.33   13.13   11.67   12.46
